id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,hemodialyse,dialyse_peritoneale,nb_postes_dialyse,seances_par_semaine,consultation_nephrologue,urgences_renales,prise_en_charge_cnps,prise_en_charge_minsante,horaires
DIA0001,Centre Rénal Nkoa,Yaoundé,Yaoundé II,Nlongkak,3.779823,11.515455,+237 650 140 896,rénalnkoa@hotmail.com,Oui,Non,3,3 séances/semaine,Oui,Non,Non,Oui,Lun–Ven 07h00–19h00
DIA0002,Centre de Dialyse Saint-Cécile,Douala,Douala V,Bali,4.065117,9.734426,+237 677 121 725,cécile@hotmail.com,Oui,Non,11,3 séances/semaine,Non,Non,Non,Oui,7j/7 — 06h00–22h00
DIA0003,Dialyse Lumière,Douala,Douala II,Bonapriso,3.990417,9.720575,+237 233 785 017,lumière@yahoo.fr,Oui,Oui,6,Sur rendez-vous,Oui,Oui,Oui,Oui,Lun–Ven 07h00–19h00
DIA0004,Centre de Dialyse de Étoa-Meki,Yaoundé,Yaoundé II,Nsam,3.789256,11.556651,+237 691 626 972,étoa-meki@yahoo.fr,Oui,Non,16,Sur rendez-vous,Non,Non,Oui,Non,Lun–Ven 07h00–19h00
DIA0005,Centre de Dialyse de Briqueterie,Yaoundé,Yaoundé III,Briqueterie,3.933926,11.49518,+237 678 070 395,briqueterie@yahoo.fr,Oui,Oui,19,3 séances/semaine,Oui,Non,Non,Oui,7j/7 — 06h00–22h00
DIA0006,Centre de Dialyse Saint-Damien,Yaoundé,Yaoundé IV,Etoudi,3.834348,11.412421,+237 695 391 120,damien@gmail.com,Oui,Non,18,3 séances/semaine,Oui,Oui,Oui,Non,7j/7 — 06h00–22h00
DIA0007,Centre de Dialyse de New Bell,Douala,Douala I,Cité des Palmiers,4.046565,9.659589,+237 650 201 060,newbell@gmail.com,Oui,Non,2,Sur rendez-vous,Non,Non,Non,Non,Lun–Sam 06h00–20h00
DIA0008,Centre de Dialyse Saint-Pierre,Yaoundé,Yaoundé III,Essos,3.886795,11.483688,+237 651 341 054,pierre@yahoo.fr,Oui,Non,11,3 séances/semaine,Oui,Non,Oui,Non,7j/7 — 07h00–21h00
DIA0009,Centre de Dialyse de PK14,Douala,Douala VI,Bonanjo,4.116631,9.721838,+237 243 050 674,pk14@dialyse.cm,Oui,Non,12,3 séances/semaine,Oui,Non,Oui,Non,7j/7 — 07h00–21h00
DIA0010,Centre Rénal Fouda,Yaoundé,Yaoundé II,Olembe,3.751833,11.537414,+237 679 860 938,rénalfouda@hotmail.com,Oui,Non,9,Sur rendez-vous,Oui,Non,Oui,Oui,Lun–Ven 07h00–19h00
DIA0011,Centre Rénal Nkeng,Douala,Douala IV,Boko,3.984577,9.679432,+237 698 199 036,rénalnkeng@gmail.com,Oui,Non,15,3 séances/semaine,Non,Non,Non,Non,7j/7 — 07h00–21h00
DIA0012,Centre de Dialyse de Bangue,Douala,Douala IV,Ndokoti,4.017622,9.683398,+237 693 986 181,bangue@hotmail.com,Oui,Non,13,2 séances/semaine,Non,Non,Non,Oui,Lun–Ven 07h00–19h00
DIA0013,Centre de Dialyse de Ndog-Passi III,Douala,Douala I,Ndoghem,4.084124,9.739773,+237 242 212 198,ndog-passiiii@hotmail.com,Oui,Non,17,3 séances/semaine,Oui,Oui,Oui,Non,7j/7 — 07h00–21h00
DIA0014,Centre de Néphrologie de Nlongkak,Yaoundé,Yaoundé II,Mimboman,3.943899,11.457594,+237 222 319 891,néphrologienlo@gmail.com,Oui,Non,7,Sur rendez-vous,Non,Non,Non,Oui,Lun–Sam 06h00–20h00
DIA0015,Centre de Néphrologie de Bassa,Douala,Douala III,Mbanya,4.058151,9.685637,+237 653 678 554,néphrologiebas@yahoo.fr,Oui,Non,7,Sur rendez-vous,Oui,Oui,Non,Oui,7j/7 — 07h00–21h00
DIA0016,Centre de Néphrologie de Biteng,Yaoundé,Yaoundé II,Obili,3.834853,11.521513,+237 222 458 889,néphrologiebit@gmail.com,Oui,Oui,17,Sur rendez-vous,Oui,Non,Non,Non,Lun–Ven 07h00–19h00
DIA0017,Centre de Néphrologie de Etoudi,Yaoundé,Yaoundé III,Etoudi,3.858695,11.515946,+237 655 623 834,néphrologieeto@hotmail.com,Oui,Non,14,Sur rendez-vous,Non,Non,Non,Non,7j/7 — 06h00–22h00
DIA0018,Centre de Dialyse de Mbanya,Douala,Douala III,Koumassi,4.076727,9.683636,+237 654 791 582,mbanya@hotmail.com,Oui,Non,4,Sur rendez-vous,Non,Oui,Non,Non,7j/7 — 07h00–21h00
