id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,type_hopital,couveuses,bloc_operatoire,urgences_24h,maternite
HOP0001,Clinique Pierre Essos,Yaoundé,Yaoundé VII,Essos,3.899244,11.465515,+237 695 412 994,pierreessos@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0002,Hôpital Nkoa de Bali,Douala,Douala V,Bali,3.993985,9.71185,+237 655 361 175,nkoabali@yahoo.fr,Hôpital de District,Non,Oui,Non,Non
HOP0003,Hôpital Saint-Bernadette de Madagascar,Yaoundé,Yaoundé VI,Madagascar,3.816499,11.528697,+237 242 997 036,bernadettemada@minsante.cm,Hôpital de District,Non,Non,Non,Oui
HOP0004,Hôpital de Kondengui,Yaoundé,Yaoundé IV,Kondengui,3.817122,11.407427,+237 654 427 508,kondengui@gmail.com,Hôpital de District,Non,Non,Non,Non
HOP0005,Hôpital Saint-Barnabé de Nkoabang,Yaoundé,Yaoundé I,Nkoabang,3.86885,11.588145,+237 652 224 042,barnabénkoaban@minsante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0006,Hôpital Saint-Dominique de Koumassi,Douala,Douala III,Koumassi,4.049184,9.75245,+237 677 286 701,dominiquekouma@gmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0007,Centre Hospitalier de Ndogbong,Douala,Douala I,Ndogbong,4.023541,9.659817,+237 677 095 225,ndogbong@hotmail.com,Hôpital de District,Oui,Oui,Oui,Oui
HOP0008,Clinique Anne Nkol-Eton,Yaoundé,Yaoundé III,Nkol-Eton,3.855172,11.544071,+237 693 151 588,annenkol-eton@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0009,Clinique Monique Mvog-Ada,Yaoundé,Yaoundé VI,Mvog-Ada,3.811517,11.581545,+237 695 273 816,moniquemvog-ad@hotmail.com,Hôpital de District,Oui,Non,Oui,Oui
HOP0010,Clinique Fouda,Yaoundé,Yaoundé VII,Ngousso,3.943094,11.453213,+237 677 630 091,fouda@gmail.com,Hôpital de District,Oui,Non,Non,Non
HOP0011,Clinique Marie Mvog-Mbi,Yaoundé,Yaoundé VI,Mvog-Mbi,3.853523,11.538211,+237 692 721 834,mariemvog-mbi@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0012,Hôpital Saint-Anne de Youpwé,Douala,Douala I,Youpwé,4.103874,9.710719,+237 243 838 954,anneyoupwé@hopitalcam.cm,Hôpital de District,Non,Oui,Non,Oui
HOP0013,Hôpital Nkeng de Akwa,Douala,Douala IV,Akwa,4.049691,9.669039,+237 698 553 838,nkengakwa@gmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0014,Hôpital Saint-Luc de Simbock,Yaoundé,Yaoundé V,Simbock,3.928676,11.529581,+237 651 553 344,lucsimbock@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0015,Hôpital Kuitche de Simbock,Yaoundé,Yaoundé VI,Simbock,3.95537,11.487388,+237 243 359 489,kuitchesimbock@minsante.cm,Hôpital de District,Non,Non,Non,Oui
HOP0016,Clinique Élisabeth Santa Barbara,Yaoundé,Yaoundé V,Santa Barbara,3.82446,11.472005,+237 650 249 335,élisabethsanta@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0017,Centre Hospitalier de Boko,Douala,Douala III,Boko,4.013276,9.740352,+237 695 866 950,boko@yahoo.fr,Hôpital de District,Oui,Oui,Non,Oui
HOP0018,Clinique Cécile Bassa,Douala,Douala I,Bassa,3.976989,9.6642,+237 698 584 071,cécibassa@sante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0019,Hôpital Nkeng de Essos,Yaoundé,Yaoundé VI,Essos,3.808637,11.580582,+237 694 577 755,nkengessos@hotmail.com,Hôpital de District,Oui,Oui,Non,Oui
HOP0020,Clinique Louis Nkomo,Yaoundé,Yaoundé IV,Nkomo,3.851268,11.403489,+237 654 042 694,louisnkomo@yahoo.fr,Hôpital de District,Non,Oui,Oui,Oui
HOP0021,Hôpital Saint-Patrick de PK14,Douala,Douala III,PK14,4.046109,9.67423,+237 698 937 415,patrickpk14@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0022,Hôpital Nkoa de Mimboman,Yaoundé,Yaoundé I,Mimboman,3.814211,11.555345,+237 677 562 575,nkoamimboman@hotmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0023,Hôpital Elong de Makepe,Douala,Douala I,Makepe,4.06333,9.679705,+237 242 187 891,elongmakepe@sante.cm,Hôpital de District,Oui,Oui,Oui,Non
HOP0024,Hôpital de PK12,Douala,Douala IV,PK12,4.109074,9.771409,+237 695 182 627,pk12@hotmail.com,Hôpital de District,Non,Oui,Oui,Non
HOP0025,Hôpital Mvogo de Koumassi,Douala,Douala III,Koumassi,4.105622,9.741409,+237 693 026 448,mvogokoumassi@gmail.com,Hôpital de District,Non,Non,Oui,Non
HOP0026,Centre Hospitalier de Nkomo,Yaoundé,Yaoundé I,Nkomo,3.891138,11.426541,+237 678 480 081,nkomo@sante.cm,Hôpital de District,Non,Non,Oui,Oui
HOP0027,Clinique Raphaël Bonamoussadi,Douala,Douala III,Bonamoussadi,4.042311,9.703929,+237 678 598 271,raphaëlbonamou@hopitalcam.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0028,Hôpital Saint-Bernadette de Japoma,Douala,Douala I,Japoma,4.117918,9.703067,+237 233 109 204,bernadettejapo@sante.cm,Hôpital de District,Non,Oui,Oui,Oui
HOP0029,Centre Hospitalier de Makepe,Douala,Douala IV,Makepe,3.971456,9.676769,+237 678 724 769,makepe@hopitalcam.cm,Hôpital de District,Non,Non,Non,Oui
HOP0030,Clinique Gabriel Bepanda,Douala,Douala II,Bepanda,4.11377,9.669738,+237 697 486 591,gabrielbepanda@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0031,Hôpital de Soboum,Douala,Douala VI,Soboum,4.110145,9.677405,+237 699 752 566,soboum@hotmail.com,Hôpital de District,Oui,Oui,Oui,Non
HOP0032,Centre Hospitalier de Mboppi,Douala,Douala V,Mboppi,4.083517,9.742013,+237 696 330 230,mboppi@minsante.cm,Hôpital de District,Non,Oui,Oui,Non
HOP0033,Clinique Marie Simbock,Yaoundé,Yaoundé V,Simbock,3.781451,11.420063,+237 698 105 659,mariesimbock@yahoo.fr,Hôpital de District,Non,Non,Oui,Oui
HOP0034,Centre Hospitalier de Simbock,Yaoundé,Yaoundé IV,Simbock,3.893798,11.425747,+237 692 747 361,simbock@yahoo.fr,Hôpital de District,Oui,Oui,Non,Non
HOP0035,Hôpital Saint-Patrick de Carrière,Yaoundé,Yaoundé VI,Carrière,3.829954,11.396857,+237 698 286 663,patrickcarrièr@gmail.com,Hôpital de District,Oui,Oui,Oui,Oui
HOP0036,Hôpital Saint-Cyprien de Mvog-Atangana,Yaoundé,Yaoundé VII,Mvog-Atangana,3.798881,11.532467,+237 696 048 190,cyprienmvog-at@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0037,Hôpital de Cité des Palmiers,Douala,Douala V,Cité des Palmiers,3.973794,9.754497,+237 690 460 310,citédespalmier@hotmail.com,Hôpital de District,Non,Non,Non,Oui
HOP0038,Hôpital Saint-Cyprien de Nzeng-Ayong,Douala,Douala III,Nzeng-Ayong,4.138491,9.692875,+237 233 989 480,cypriennzeng-a@hopitalcam.cm,Hôpital de District,Oui,Non,Oui,Non
HOP0039,Hôpital de Mvog-Beti,Yaoundé,Yaoundé VII,Mvog-Beti,3.87243,11.402616,+237 242 290 159,mvog-beti@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0040,Clinique Damien Odza,Yaoundé,Yaoundé V,Odza,3.884223,11.507567,+237 691 370 902,damienodza@gmail.com,Hôpital de District,Non,Non,Oui,Oui
HOP0041,Hôpital Saint-Thérèse de PK14,Douala,Douala VI,PK14,4.032824,9.657868,+237 692 907 602,thérèsepk14@yahoo.fr,Hôpital de District,Non,Oui,Oui,Oui
HOP0042,Hôpital Nkoa de Akwa,Douala,Douala II,Akwa,4.019483,9.670232,+237 655 079 488,nkoaakwa@hotmail.com,Hôpital de District,Non,Oui,Oui,Oui
HOP0043,Hôpital de Boko,Douala,Douala III,Boko,4.115285,9.764468,+237 678 799 933,boko@yahoo.fr,Hôpital de District,Non,Oui,Non,Oui
HOP0044,Hôpital Kamga de Ekounou,Yaoundé,Yaoundé VI,Ekounou,3.80583,11.482562,+237 691 299 229,kamgaekounou@hotmail.com,Hôpital de District,Non,Non,Oui,Non
