id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,radiographie,echographie,scanner,irm,mammographie,doppler,horaires
IMG0001,Clinique Radiologique Nkoa,Yaoundé,Yaoundé III,Mvan,3.860519,11.562657,+237 233 224 266,radiologiquenk@yahoo.fr,Oui,Non,Non,Non,Oui,Non,Lun–Dim 08h00–18h00
IMG0002,Imagerie Médicale Nkeng,Yaoundé,Yaoundé VI,Santa Barbara,3.759027,11.534474,+237 678 531 280,médicankeng@imagerie.cm,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 07h00–20h00
IMG0003,Centre de Radiologie Saint-Jean,Douala,Douala VI,Mbanya,4.022147,9.736886,+237 242 327 882,radiologiejean@yahoo.fr,Oui,Oui,Non,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0004,Cabinet de Radiologie de Ngoa-Ekélé,Yaoundé,Yaoundé VI,Ekounou,3.934225,11.484987,+237 654 881 269,radiologiengoa@yahoo.fr,Oui,Oui,Non,Non,Oui,Oui,Lun–Ven 08h00–18h00
IMG0005,Centre d'Imagerie Santé,Yaoundé,Yaoundé V,Nkolbisson,3.788922,11.435231,+237 242 654 754,santé@imagerie.cm,Oui,Oui,Oui,Oui,Oui,Non,7j/7 — 08h00–20h00
IMG0006,Imagerie Médicale Tchoupo,Douala,Douala III,Bangue,4.092749,9.703053,+237 699 285 667,médicatchoupo@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h30–18h30
IMG0007,Cabinet de Radiologie de Efoulan,Yaoundé,Yaoundé VII,Efoulan,3.849098,11.580634,+237 242 500 820,radiologieefou@yahoo.fr,Oui,Oui,Oui,Non,Non,Non,Lun–Ven 08h00–18h00
IMG0008,Centre de Radiologie Saint-Gabriel,Yaoundé,Yaoundé I,Mvog-Atangana,3.847413,11.473297,+237 651 292 857,radiologiegabr@hotmail.com,Oui,Oui,Non,Non,Non,Non,Lun–Sam 07h30–19h00
IMG0009,Centre d'Imagerie Bonheur,Yaoundé,Yaoundé IV,Santa Barbara,3.865987,11.472321,+237 678 966 340,bonheur@imagerie.cm,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 07h00–20h00
IMG0010,Cabinet de Radiologie de Tsinga,Yaoundé,Yaoundé VI,Biyem-Assi,3.937647,11.440136,+237 690 515 746,radiologietsin@imagerie.cm,Oui,Oui,Oui,Non,Non,Oui,Lun–Ven 08h00–18h00
IMG0011,Centre d'Imagerie de PK8,Douala,Douala II,Ndog-Passi III,4.103676,9.764614,+237 222 910 443,pk8@imagerie.cm,Oui,Oui,Oui,Non,Oui,Oui,Lun–Sam 07h00–20h00
IMG0012,Imagerie Médicale Bikié,Yaoundé,Yaoundé V,Biyem-Assi,3.832733,11.578962,+237 654 423 608,médicabikié@imagerie.cm,Oui,Oui,Non,Non,Oui,Oui,Lun–Sam 07h30–19h00
IMG0013,Cabinet de Radiologie de Bastos,Yaoundé,Yaoundé IV,Odza,3.900607,11.562484,+237 654 353 942,radiologiebast@yahoo.fr,Oui,Oui,Oui,Non,Oui,Oui,Lun–Ven 07h30–17h30
IMG0014,Centre d'Imagerie de Mboppi,Douala,Douala II,Koumassi,4.046428,9.761197,+237 692 126 216,mboppi@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h30–18h30
IMG0015,Centre de Radiologie Saint-Félicité,Douala,Douala V,PK10,3.99873,9.699574,+237 699 859 622,radiologieféli@gmail.com,Oui,Non,Non,Non,Oui,Non,Lun–Dim 08h00–18h00
IMG0016,Imagerie Médicale Eba,Yaoundé,Yaoundé I,Madagascar,3.880396,11.428875,+237 690 936 993,médicaeba@gmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Dim 08h00–18h00
IMG0017,Cabinet de Radiologie de Bassa,Douala,Douala V,Bonaberi,4.049903,9.668578,+237 233 024 200,radiologiebass@gmail.com,Oui,Oui,Oui,Oui,Oui,Non,Lun–Sam 07h00–20h00
IMG0018,Imagerie Médicale Owona,Yaoundé,Yaoundé III,Biteng,3.836214,11.504323,+237 696 117 192,médicaowona@gmail.com,Oui,Oui,Oui,Non,Non,Non,Lun–Sam 08h00–17h00
IMG0019,Imagerie Médicale Fouda,Yaoundé,Yaoundé III,Ngousso,3.78968,11.592435,+237 678 574 231,médicafouda@hotmail.com,Oui,Oui,Oui,Non,Non,Oui,Lun–Sam 08h30–18h30
IMG0020,Cabinet de Radiologie de Mvan,Yaoundé,Yaoundé III,Mvan,3.801437,11.495556,+237 678 158 947,radiologiemvan@imagerie.cm,Oui,Oui,Non,Oui,Non,Oui,Lun–Ven 07h30–17h30
IMG0021,Centre d'Imagerie de Mvog-Beti,Yaoundé,Yaoundé II,Mvog-Beti,3.823417,11.516407,+237 652 380 816,mvog-beti@gmail.com,Oui,Non,Non,Non,Non,Non,Lun–Dim 08h00–18h00
IMG0022,Centre d'Imagerie de Olembe,Yaoundé,Yaoundé IV,Olembe,3.876086,11.555617,+237 650 159 454,olembe@hotmail.com,Oui,Oui,Oui,Non,Oui,Non,Lun–Ven 08h00–18h00
IMG0023,Cabinet de Radiologie de Nyalla,Douala,Douala VI,Makepe,4.110763,9.746412,+237 691 873 196,radiologienyal@imagerie.cm,Oui,Oui,Non,Non,Non,Oui,Lun–Ven 07h30–17h30
IMG0024,Cabinet de Radiologie de Bali,Douala,Douala II,Kotto,4.048331,9.792406,+237 650 326 638,radiologiebali@gmail.com,Oui,Non,Non,Non,Oui,Non,7j/7 — 08h00–20h00
IMG0025,Clinique Radiologique Ndjock,Douala,Douala VI,Bonanjo,4.112516,9.688247,+237 654 629 938,radiologiquend@imagerie.cm,Oui,Non,Non,Non,Non,Oui,Lun–Sam 07h00–20h00
IMG0026,Imagerie Médicale Mbarga,Yaoundé,Yaoundé VII,Nkol-Afeme,3.74747,11.484606,+237 653 763 491,médicambarga@hotmail.com,Oui,Non,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
