id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,pharmacie_de_garde,type_garde,horaires,livraison_domicile,parapharmacie,materiel_medical
PHA0001,Officine Bikié de Koumassi,Douala,Douala III,Koumassi,4.050674,9.737699,+237 692 679 444,bikiékoumassi@gmail.com,Non,Standard,Lun–Ven 08h00–19h00,Non,Oui,Oui
PHA0002,Officine Wamba de Kotto,Douala,Douala IV,Kotto,4.039945,9.795175,+237 650 450 476,wambakotto@pharmacie.cm,Oui,Nuit,20h00 — 08h00,Non,Non,Non
PHA0003,Officine Kamga de Bastos,Yaoundé,Yaoundé I,Bastos,3.914475,11.584143,+237 693 117 245,kamgabastos@sante.cm,Non,Standard,Lun–Sam 07h30–20h00,Non,Oui,Non
PHA0004,Pharmacie Camille Bangue,Douala,Douala III,Bangue,4.022901,9.725745,+237 694 447 946,camilbangue@pharmacie.cm,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Oui
PHA0005,Officine Nguele de Bonapriso,Douala,Douala IV,Bonapriso,4.050074,9.761431,+237 692 902 235,nguebonapriso@pharmacie.cm,Non,Standard,Lun–Dim 08h00–20h00,Non,Oui,Non
PHA0006,Pharmacie du Elig-Essono,Yaoundé,Yaoundé III,Elig-Essono,3.92686,11.436115,+237 692 211 384,elig-essono@pharmacie.cm,Oui,Permanente,24h/24 — 7j/7,Non,Non,Non
PHA0007,Officine Ekani de PK17,Douala,Douala VI,PK17,4.091514,9.687873,+237 222 298 283,ekanipk17@sante.cm,Oui,Weekend,Sam–Dim 08h00 — 20h00,Non,Non,Non
PHA0008,Officine Mvé de Bonapriso,Douala,Douala II,Bonapriso,4.051214,9.648138,+237 678 309 923,mvébonapriso@hotmail.com,Non,Standard,Lun–Sam 08h00–18h30,Non,Non,Non
PHA0009,Officine Mbarga de Mbanya,Douala,Douala III,Mbanya,4.063569,9.634082,+237 694 602 160,mbargambanya@gmail.com,Non,Standard,Lun–Sam 07h30–20h00,Non,Non,Non
PHA0010,Pharmacie Claire Ndog-Passi III,Douala,Douala VI,Ndog-Passi III,4.081866,9.743512,+237 243 599 350,clairendog-pas@pharmacie.cm,Oui,Permanente,24h/24 — 7j/7,Non,Non,Non
PHA0011,Pharmacie de Djoungolo,Yaoundé,Yaoundé V,Djoungolo,3.94069,11.504581,+237 691 727 894,djoungolo@gmail.com,Non,Standard,Lun–Sam 07h00–21h00,Non,Oui,Oui
