id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,kinesitherapie,reeducation_post_op,reeducation_neurologique,reeducation_pediatrique,osteopathie,appareillage_orthopedique,seances_domicile,horaires
KIN0001,Physiothérapie Nkeng,Douala,Douala III,Nyalla,3.990662,9.643508,+237 695 473 632,physiothérapie@hotmail.com,Oui,Oui,Non,Non,Oui,Non,Oui,Lun–Sam 07h30–19h00
KIN0002,Centre de Rééducation Grâce,Douala,Douala V,Makepe,4.053398,9.773715,+237 650 670 674,grâce@kine.cm,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 07h30–19h00
KIN0003,Physiothérapie Feudjio,Yaoundé,Yaoundé VI,Tsinga,3.791736,11.424981,+237 650 248 952,physiothérapie@kine.cm,Oui,Non,Oui,Oui,Non,Oui,Non,Lun–Sam 08h00–17h00
KIN0004,Centre de Kinésithérapie de Nkongmondo,Douala,Douala V,PK17,3.993661,9.69269,+237 690 805 326,nkongmondo@hotmail.com,Oui,Non,Non,Oui,Oui,Oui,Non,Lun–Ven 08h00–18h00
KIN0005,Centre de Kinésithérapie de Djoungolo,Yaoundé,Yaoundé I,Djoungolo,3.832208,11.569467,+237 233 503 702,djoungolo@gmail.com,Oui,Oui,Oui,Oui,Non,Oui,Oui,Lun–Dim 08h00–18h00
KIN0006,Cabinet Kiné Ndjock,Yaoundé,Yaoundé V,Mendong,3.76729,11.536606,+237 242 484 635,kinéndjock@hotmail.com,Oui,Oui,Oui,Oui,Non,Oui,Non,7j/7 — 08h00–20h00
KIN0007,Centre de Kinésithérapie de Ndoghem,Douala,Douala II,Bassa,3.978114,9.679647,+237 696 297 757,ndoghem@hotmail.com,Oui,Non,Oui,Non,Non,Non,Non,Lun–Ven 08h00–18h00
KIN0008,Cabinet de Kinésithérapie Marc,Yaoundé,Yaoundé V,Ekounou,3.903925,11.528321,+237 243 167 711,marc@gmail.com,Oui,Oui,Oui,Non,Non,Oui,Non,Lun–Sam 08h30–18h30
KIN0009,Centre de Rééducation Saint-Marie,Yaoundé,Yaoundé IV,Etoudi,3.767115,11.472656,+237 242 756 179,marie@gmail.com,Oui,Oui,Non,Oui,Non,Oui,Non,Lun–Ven 07h30–17h30
KIN0010,Centre de Rééducation Grâce,Yaoundé,Yaoundé V,Elig-Essono,3.758048,11.50237,+237 694 982 689,grâce@hotmail.com,Oui,Non,Oui,Oui,Non,Non,Non,7j/7 — 08h00–20h00
