id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,type_centre,vaccination_enfants,vaccination_adultes,suivi_grossesse,planning_familial,consultation_nourrissons,vaccins_disponibles,carnet_sante_numerique,horaires
VAC0001,PMI Saint-Jeanne,Yaoundé,Yaoundé V,Nkomo,3.860847,11.514347,+237 693 362 565,jeanne@gmail.com,PMI,Oui,Oui,Non,Oui,Oui,Hépatite B | Tétanos | Méningite | DTP | BCG | Fièvre jaune | HPV | Rougeole | COVID-19 | Polio,Non,Lun–Sam 07h00–20h00
VAC0002,PMI de PK14,Douala,Douala V,PK14,4.004687,9.681276,+237 696 285 252,pk14@sante.cm,PMI,Oui,Oui,Oui,Non,Oui,BCG | Fièvre jaune | Tétanos | Rougeole | Méningite,Non,Lun–Sam 07h00–20h00
VAC0003,Centre de Vaccination Salut,Yaoundé,Yaoundé I,Ngousso,3.953071,11.528054,+237 243 134 688,salut@hotmail.com,CSI avec vaccination,Oui,Non,Non,Oui,Non,Rougeole | DTP | Tétanos | HPV,Oui,Lun–Sam 07h00–20h00
VAC0004,Centre de Santé Maternelle et Infantile de Bali,Douala,Douala II,Ndoghem,3.976428,9.670393,+237 233 675 878,santématernele@sante.cm,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,HPV | Fièvre jaune | Tétanos | DTP | Rougeole | Méningite | Hépatite B | BCG | Polio,Non,Lun–Sam 08h30–18h30
VAC0005,PMI Saint-Bernadette,Yaoundé,Yaoundé III,Étoa-Meki,3.835409,11.539554,+237 677 601 309,bernadette@sante.cm,CSI avec vaccination,Oui,Oui,Oui,Oui,Oui,Méningite | BCG | Tétanos | Polio | Fièvre jaune | HPV | COVID-19 | Hépatite B | DTP | Rougeole,Non,Lun–Sam 08h30–18h30
VAC0006,Centre de Vaccination de Biyem-Assi,Yaoundé,Yaoundé V,Biyem-Assi,3.808152,11.545081,+237 690 503 290,biyem-assi@sante.cm,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,Rougeole | Hépatite B | HPV | Polio | DTP | Tétanos | BCG | COVID-19 | Méningite,Non,Lun–Ven 08h00–18h00
VAC0007,PMI Saint-Louis,Douala,Douala IV,New Bell,4.057575,9.703356,+237 699 714 621,louis@hotmail.com,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,Polio | BCG | Tétanos | COVID-19 | Fièvre jaune,Non,Lun–Sam 07h00–20h00
VAC0008,PMI de Melen,Yaoundé,Yaoundé VI,Melen,3.813696,11.435167,+237 222 678 225,melen@yahoo.fr,Centre de vaccination,Oui,Oui,Oui,Oui,Oui,Fièvre jaune | Méningite | Hépatite B | HPV | Polio | DTP | Rougeole | Tétanos | BCG | COVID-19,Oui,Lun–Ven 08h00–18h00
VAC0009,Centre de Vaccination de Mokolo,Yaoundé,Yaoundé II,Mokolo,3.791513,11.585049,+237 654 458 819,mokolo@hotmail.com,PMI,Oui,Oui,Non,Non,Oui,BCG | Rougeole | Polio | COVID-19,Non,Lun–Sam 08h00–17h00
VAC0010,Centre de Vaccination de Ndogpassi,Douala,Douala VI,Ndogpassi,4.081071,9.782852,+237 693 809 596,ndogpassi@sante.cm,Centre de vaccination,Oui,Oui,Oui,Non,Oui,BCG | COVID-19 | Hépatite B | Tétanos | DTP | HPV | Rougeole,Non,Lun–Sam 08h30–18h30
VAC0011,Centre de Vaccination Abega,Douala,Douala II,Boko,4.052371,9.666908,+237 691 914 540,abega@sante.cm,Centre de vaccination,Oui,Non,Oui,Oui,Oui,Rougeole | Fièvre jaune | HPV | DTP,Non,7j/7 — 08h00–20h00
VAC0012,Centre de Vaccination de Bonapriso,Douala,Douala VI,Bepanda,4.03366,9.624414,+237 699 678 300,bonapriso@yahoo.fr,Centre de vaccination,Oui,Non,Oui,Oui,Oui,DTP | Polio | COVID-19 | Méningite | BCG | Rougeole,Non,Lun–Ven 07h30–17h30
VAC0013,Centre de Santé Maternelle et Infantile de Mbanya,Douala,Douala III,PK14,4.084615,9.764704,+237 243 003 945,santématernele@gmail.com,Centre de vaccination,Oui,Non,Oui,Oui,Oui,HPV | Polio | DTP | BCG | COVID-19 | Hépatite B | Rougeole | Tétanos,Non,Lun–Ven 07h30–17h30
VAC0014,Centre de Vaccination de Ndogbong,Douala,Douala IV,PK17,4.065987,9.708784,+237 698 896 622,ndogbong@yahoo.fr,PMI,Oui,Oui,Oui,Oui,Non,HPV | Hépatite B | Fièvre jaune | Polio | Rougeole | Tétanos | BCG | DTP,Non,Lun–Sam 07h30–19h00
VAC0015,PMI de Ahala,Yaoundé,Yaoundé III,Ahala,3.862983,11.59121,+237 692 292 214,ahala@yahoo.fr,PMI,Oui,Oui,Oui,Non,Oui,Polio | COVID-19 | Hépatite B | Rougeole | DTP | Tétanos,Non,Lun–Sam 07h30–19h00
VAC0016,PMI Saint-Étienne,Douala,Douala V,Mbanya,4.073324,9.65207,+237 242 398 784,étienne@gmail.com,CSI avec vaccination,Oui,Non,Oui,Oui,Oui,COVID-19 | Polio | DTP | Hépatite B | HPV | Rougeole | Tétanos | Méningite | BCG | Fièvre jaune,Non,Lun–Ven 08h00–18h00
VAC0017,Centre de Vaccination de Bastos,Yaoundé,Yaoundé III,Efoulan,3.828065,11.549358,+237 650 234 737,bastos@yahoo.fr,PMI,Oui,Oui,Oui,Oui,Oui,Rougeole | Polio | Méningite | COVID-19 | DTP | HPV,Non,Lun–Sam 07h30–19h00
VAC0018,Centre de Vaccination Belinga,Douala,Douala III,Boko,4.034942,9.716296,+237 222 978 374,belinga@sante.cm,CSI avec vaccination,Oui,Oui,Non,Oui,Oui,HPV | Rougeole | Polio | COVID-19,Non,Lun–Ven 08h00–18h00
VAC0019,Centre de Vaccination Ndoumbe,Yaoundé,Yaoundé III,Efoulan,3.822269,11.546047,+237 677 595 683,ndoumbe@sante.cm,Centre de vaccination,Oui,Oui,Oui,Oui,Non,COVID-19 | BCG | Hépatite B | Polio | HPV | Tétanos | Méningite | DTP | Rougeole,Non,Lun–Sam 07h30–19h00
VAC0020,PMI de Nlongkak,Yaoundé,Yaoundé IV,Nkolbisson,3.860558,11.398309,+237 242 709 620,nlongkak@yahoo.fr,PMI,Oui,Oui,Oui,Non,Oui,DTP | Fièvre jaune | Méningite | Polio | Rougeole,Non,Lun–Sam 07h30–19h00
VAC0021,PMI de Kotto,Douala,Douala I,Mboppi,4.130333,9.701021,+237 691 079 132,kotto@gmail.com,Centre de vaccination,Oui,Non,Oui,Oui,Non,HPV | Méningite | Polio | Hépatite B | COVID-19 | Rougeole,Non,7j/7 — 08h00–20h00
VAC0022,Centre de Santé Maternelle et Infantile de Mvog-Mbi,Yaoundé,Yaoundé VI,Mvog-Ada,3.784702,11.523322,+237 243 593 512,santématernele@hotmail.com,PMI,Oui,Non,Oui,Oui,Oui,Tétanos | DTP | Fièvre jaune | BCG | Polio | Rougeole | Méningite,Non,Lun–Ven 08h00–18h00
